,Target 7,Target 60,Target 120,Features
0,0.0644025214987566,0.046330716879527,0.013881030402951357,Low_adj
1,0.09477699847480392,0.08523106930802385,0.04554344653209979,others_cr
2,0.1142074067552323,0.08742974629500563,0.0366886537304061,Adj Close
3,0.10856060825336518,0.03051740251353303,0.022900018075977285,Open_adj
4,0.056222422555777314,0.07016853426263175,0.06065275942203564,volume_vwap
5,0.07985362664352293,0.0646574829099707,0.07430872224443494,volatility_kcl
6,0.04134183818864764,0.08800602182107027,0.07795717837892632,volatility_bbl
7,0.05106101174677904,0.21926152343040417,0.23342202026430736,volume_nvi
8,0.046063517665001,0.022514526373089826,0.061043639524249176,trend_psar_up
9,0.051224285613232695,0.05593113354942699,0.020037391842426644,volatility_dcl
10,0.07144084127455168,0.04105972362447068,0.12232129614277516,trend_ichimoku_base
11,0.1464362589260618,0.09158259119837117,0.030557960329127356,lowerband
12,0.0610044009192386,0.04012677447688156,0.08627558337552446,High_adj
13,0.013404261485029347,0.057182753357593326,0.11441029973475847,trend_visual_ichimoku_a
